id,name,position,predicted_total_points
524,Alphonse Areola,GK,10.031983
301,Caoimhin Kelleher,GK,8.503797
275,Bernd Leno,GK,7.8652725
77,Norberto Murara Neto,GK,6.6734366
409,Martin Dubravka,GK,5.041953
113,David Raya Martin,GK,3.8575745
614,Thomas Kaminski,GK,3.1625466
101,Mark Flekken,GK,3.1076975
352,Ederson Santana de Moraes,GK,2.660471
520,Guglielmo Vicario,GK,2.582203
424,Nick Pope,GK,2.227593
291,Alisson Ramses Becker,GK,1.901044
596,James Trafford,GK,1.8875567
263,Jordan Pickford,GK,1.7331387
808,Matz Sels,GK,1.6256601
790,Ivo Grbic,GK,1.5928671
230,Sam Johnstone,GK,1.5838501
148,Jason Steele,GK,1.1470065
152,Bart Verbruggen,GK,1.1299886
385,Dean Henderson,GK,0.81243384
482,Wes Foderingham,GK,0.66336066
28,Matt Turner,GK,0.41422585
361,Stefan Ortega Moreno,GK,0.17787416
